name,reclat,reclong,mass (g),year,family
Cherokee Springs,35.03333,-81.88333,8400.0,1933.0,Chondrite — Ordinary
Chervettaz,46.55,6.81667,705.0,1901.0,Chondrite — Ordinary
Chervony Kut,50.83333,34.0,1700.0,1939.0,Achondrite — HED
Chetrinahatti,14.5,76.5,72.0,1880.0,Other / Ungrouped
Chiang Khan,17.9,101.63333,367.0,1981.0,Chondrite — Ordinary
Chicora,40.93333,-79.73333,303.0,1938.0,Chondrite — Ordinary
Chisenga,-10.05944,33.395,3920.0,1988.0,Iron meteorite
Chitado,-17.35,13.96667,,1966.0,Chondrite — Ordinary
Chitenay,47.47083,0.97667,4000.0,1978.0,Chondrite — Ordinary
Cilimus,-6.95,108.1,1600.0,1979.0,Chondrite — Ordinary
Claxton,32.1025,-81.87278,1455.0,1984.0,Chondrite — Ordinary
Colby (Wisconsin),44.9,-90.28333,104000.0,1917.0,Chondrite — Ordinary
Cold Bokkeveld,-33.13333,19.38333,5200.0,1838.0,Chondrite — Carbonaceous
Coleman,43.76111,-84.50778,469.0,1994.0,Chondrite — Ordinary
Collescipoli,42.53333,12.61667,5000.0,1890.0,Chondrite — Ordinary
Conquista,-19.85,-47.55,20350.0,1965.0,Chondrite — Ordinary
Cosina,21.16667,-100.86667,1200.0,1844.0,Chondrite — Ordinary
Cranganore,10.2,76.26667,1460.0,1917.0,Chondrite — Ordinary
Crescent,35.95,-97.58333,78.4,1936.0,Chondrite — Carbonaceous
Cronstad,-27.7,27.3,3650.0,1877.0,Chondrite — Ordinary
Cross Roads,35.63333,-78.13333,167.0,1892.0,Chondrite — Ordinary
Crumlin,54.61667,-6.21667,4255.0,1902.0,Chondrite — Ordinary
Cumberland Falls,36.83333,-84.35,17000.0,1919.0,Achondrite — Primitive/Other
Cynthiana,38.4,-84.25,6000.0,1877.0,Chondrite — Ordinary
Dahmani,35.61667,8.83333,18000.0,1981.0,Chondrite — Ordinary
Dandapur,26.91667,83.96667,5650.0,1878.0,Chondrite — Ordinary
Daniel's Kuil,-28.2,24.56667,1064.0,1868.0,Chondrite — Enstatite
Danville,34.4,-87.06667,2000.0,1868.0,Chondrite — Ordinary
Darmstadt,49.86667,8.65,100.0,1804.0,Chondrite — Ordinary
Dashoguz,41.98444,59.685,7000.0,1998.0,Chondrite — Ordinary
Daule,-1.87089,-79.95756,6580.0,2008.0,Chondrite — Ordinary
De Cewsville,43.0,-80.0,340.0,1887.0,Chondrite — Ordinary
Deal,40.25,-74.0,28.0,1829.0,Chondrite — Ordinary
Delhi,28.56667,77.25,0.8,1897.0,Chondrite — Ordinary
Demina,51.46667,84.76667,16400.0,1911.0,Chondrite — Ordinary
Denver,39.7825,-104.93056,230.0,1967.0,Chondrite — Ordinary
Dergaon,26.68333,93.86667,12500.0,2001.0,Chondrite — Ordinary
Desuri,25.73333,73.61667,25400.0,1962.0,Chondrite — Ordinary
Devgaon,19.0,81.0,12000.0,2001.0,Chondrite — Ordinary
Devri-Khera,24.225,76.525,1140.0,1994.0,Chondrite — Ordinary
Dhajala,22.37778,71.42722,45000.0,1976.0,Chondrite — Ordinary
Dharwar,14.88333,75.6,1800.0,1848.0,Other / Ungrouped
Dhurmsala,32.23333,76.46667,32000.0,1860.0,Chondrite — Ordinary
Didim,37.35172,27.32997,3396.0,2007.0,Chondrite — Ordinary
Diep River,-33.75,18.56667,1000.0,1906.0,Chondrite — Ordinary
Distrito Quebracho,-31.88333,-60.46667,400.0,1957.0,Chondrite — Ordinary
Djati-Pengilon,-7.5,111.5,166000.0,1884.0,Chondrite — Ordinary
Djermaia,12.73333,15.05,3950.0,1961.0,Chondrite — Ordinary
Djoumine,36.95,9.55,10000.0,1999.0,Chondrite — Ordinary
Dokachi,23.5,90.33333,3840.0,1903.0,Chondrite — Ordinary
Dolgovoli,50.75,25.3,1600.0,1864.0,Chondrite — Ordinary
Domanitch,40.0,29.0,438.0,1907.0,Chondrite — Ordinary
Dong Ujimqin Qi,45.5,119.03333,128800.0,1995.0,Stony-iron
Donga Kohrod,21.86667,82.45,230.0,1899.0,Chondrite — Ordinary
Dongtai,32.91667,120.78333,5500.0,1970.0,Chondrite — Ordinary
Doroninsk,51.2,112.3,3891.0,1805.0,Chondrite — Ordinary
Dosso,13.05,3.16667,1250.0,1962.0,Chondrite — Ordinary
Douar Mghila,32.33333,-6.3,1161.0,1932.0,Chondrite — Ordinary
Dowa,-13.66667,33.91667,642.0,1976.0,Other / Ungrouped
Drake Creek,36.4,-86.5,5000.0,1827.0,Chondrite — Ordinary
Dresden (Ontario),42.52,-82.26,47700.0,1939.0,Chondrite — Ordinary
Dubrovnik,42.45833,18.44167,1900.0,1951.0,Chondrite — Ordinary
Dunbogan,-31.66667,152.83333,30.0,1999.0,Chondrite — Ordinary
Dundrum,52.55,-8.03333,2270.0,1865.0,Chondrite — Ordinary
Dunhua,43.33333,128.25,,1976.0,Other / Ungrouped
Durala,30.3,76.63333,13200.0,1815.0,Chondrite — Ordinary
Duruma,-4.0,39.5,577.0,1853.0,Chondrite — Ordinary
Duwun,33.43333,127.26667,2117.0,1943.0,Chondrite — Ordinary
Dwaleni,-27.2,31.31667,3230.0,1970.0,Chondrite — Ordinary
Dyalpur,26.25,82.0,300.0,1872.0,Achondrite — Primitive/Other
Dyarrl Island,-3.0,151.0,188.0,1933.0,Stony-iron
Eagle,40.78167,-96.47167,10000.0,1947.0,Chondrite — Enstatite
Ehole,-17.3,15.83333,2400.0,1961.0,Chondrite — Ordinary
Eichstädt,48.9,11.21667,3000.0,1785.0,Chondrite — Ordinary
Ekeby,56.03333,13.0,3336.0,1939.0,Chondrite — Ordinary
Ekh Khera,28.26667,78.78333,840.0,1916.0,Chondrite — Ordinary
El Idrissia,34.41667,3.25,10000.0,1989.0,Chondrite — Ordinary
El Paso de Aguila,25.37,-97.37,17226.0,1977.0,Chondrite — Ordinary
El Tigre,19.96722,-103.05167,5000.0,1993.0,Chondrite — Ordinary
Elbert,39.24667,-104.58817,680.5,1998.0,Chondrite — Ordinary
Elbogen,50.18333,12.73333,107000.0,1399.0,Iron meteorite
Elenovka,47.83333,37.66667,54640.0,1951.0,Chondrite — Ordinary
Ellemeet,51.75,4.0,1470.0,1925.0,Achondrite — HED
Emmaville,-29.46667,151.61667,127.0,1900.0,Achondrite — HED
Enshi,30.3,109.5,8000.0,1974.0,Chondrite — Ordinary
Ensisheim,47.86667,7.35,127000.0,1491.0,Chondrite — Ordinary
Épinal,48.18333,6.46667,277.0,1822.0,Chondrite — Ordinary
Erakot,19.03333,81.89167,113.0,1940.0,Chondrite — Carbonaceous
Erevan,40.3,44.5,107.2,1911.0,Achondrite — HED
Ergheo,1.16667,44.16667,20000.0,1889.0,Chondrite — Ordinary
Erxleben,52.21667,11.25,2250.0,1812.0,Chondrite — Ordinary
Esnandes,46.25,-1.1,1500.0,1837.0,Chondrite — Ordinary
Essebi,2.88333,30.83333,500.0,1957.0,Chondrite — Carbonaceous
Estherville,43.41667,-94.83333,320000.0,1879.0,Stony-iron
Farmington,39.75,-97.03333,89400.0,1890.0,Chondrite — Ordinary
Farmville,35.55,-77.53333,56000.0,1934.0,Chondrite — Ordinary
Favars,44.38333,2.81667,1500.0,1844.0,Chondrite — Ordinary
Fayetteville,36.05,-94.16667,2360.0,1934.0,Chondrite — Ordinary
Feid Chair,36.88333,8.45,380.0,1875.0,Chondrite — Ordinary
Felix,32.53333,-87.16667,3200.0,1900.0,Chondrite — Carbonaceous
Fenghsien-Ku,34.6,116.75,82.0,1924.0,Chondrite — Ordinary
Ferguson,36.1,-81.41667,220.0,1889.0,Other / Ungrouped
Fermo,43.18111,13.75333,10200.0,1996.0,Chondrite — Ordinary
Fisher,47.81667,-96.85,17600.0,1894.0,Chondrite — Ordinary
Florence,30.83333,-97.76667,3640.0,1922.0,Chondrite — Ordinary
Forest City,43.25,-93.66667,152000.0,1890.0,Chondrite — Ordinary
Forest Vale,-33.35,146.85833,26000.0,1942.0,Chondrite — Ordinary
Forksville,36.78333,-78.08333,6067.0,1924.0,Chondrite — Ordinary
Forsbach,50.95,7.31667,240.0,1900.0,Chondrite — Ordinary
Forsyth,33.01667,-83.96667,16300.0,1829.0,Chondrite — Ordinary
Fort Flatters,28.25,7.0,,1944.0,Other / Ungrouped
Frankfort (stone),34.48333,-87.83333,650.0,1868.0,Achondrite — HED
Fuhe,31.47556,113.56694,23000.0,1945.0,Chondrite — Ordinary
Fukutomi,33.18333,130.2,11620.0,1882.0,Chondrite — Ordinary
Fünen,55.33333,10.33333,,1654.0,Other / Ungrouped
Futtehpur,25.95,80.81667,4000.0,1822.0,Chondrite — Ordinary
Fuyang,32.9,115.9,2500.0,1977.0,Other / Ungrouped
Galapian,44.3,0.4,132.7,1826.0,Chondrite — Ordinary
Galim (a),7.05,12.43333,36.1,1952.0,Chondrite — Ordinary
Galim (b),7.05,12.43333,28.0,1952.0,Chondrite — Enstatite
Galkiv,51.68333,30.78333,5000.0,1995.0,Chondrite — Ordinary
Gambat,27.35,68.53333,6400.0,1897.0,Chondrite — Ordinary
Gao-Guenie,11.65,-2.18333,,1960.0,Chondrite — Ordinary
Garhi Yasin,27.88333,68.53333,380.0,1917.0,Iron meteorite
Garland,41.68333,-112.13333,102.0,1950.0,Achondrite — HED
Gashua,12.85,11.03333,4162.0,1984.0,Chondrite — Ordinary
Gasseltepaoua,14.15083,-2.04167,,2000.0,Chondrite — Ordinary
Geidam,12.91667,11.91667,725.0,1950.0,Chondrite — Ordinary
Gifu,35.53333,136.88333,14290.0,1909.0,Chondrite — Ordinary
Girgenti,37.31667,13.56667,18000.0,1853.0,Chondrite — Ordinary
Git-Git,9.6,9.91667,480.0,1947.0,Chondrite — Ordinary
Glanerbrug,52.2,6.86667,670.0,1990.0,Chondrite — Ordinary
Glanggang,-7.25,107.7,1303.0,1939.0,Chondrite — Ordinary
Glasatovo,57.35,37.61667,152000.0,1918.0,Chondrite — Ordinary
Glatton,52.45972,-0.3,767.0,1991.0,Chondrite — Ordinary
Gnadenfrei,50.66667,16.76667,1750.0,1879.0,Chondrite — Ordinary
Gopalpur,24.23333,89.05,1600.0,1865.0,Chondrite — Ordinary
Gorlovka,48.28333,38.08333,3618.0,1974.0,Chondrite — Ordinary
Granes,42.9,2.25,9000.0,1964.0,Chondrite — Ordinary
Grefsheim,60.66667,11.0,45.5,1976.0,Chondrite — Ordinary
Grimsby,43.2,-79.61667,215.0,2009.0,Chondrite — Ordinary
Grosnaja,43.66667,45.38333,3500.0,1861.0,Chondrite — Carbonaceous
Gross-Divina,49.26667,18.71667,10500.0,1837.0,Chondrite — Ordinary
Grossliebenthal,46.35,30.58333,8000.0,1881.0,Chondrite — Ordinary
