name,reclat,reclong,mass (g),year,family
Yamato 981236,0.0,0.0,10.59,1998.0,Chondrite — Ordinary
Grove Mountains 050005,-73.113889,75.171667,1.15,2006.0,Chondrite — Ordinary
Grove Mountains 021533,-72.96306,75.21472,4.34,2003.0,Chondrite — Ordinary
Queen Alexandra Range 93253,-84.5794,162.62671,3.8,1993.0,Chondrite — Ordinary
Yamato 790172,-71.5,35.66667,26.92,1979.0,Chondrite — Ordinary
Yamato 791819,-71.5,35.66667,0.62,1979.0,Chondrite — Ordinary
Meteorite Hills 00500,-79.68333,155.75,230.7,2000.0,Chondrite — Ordinary
Grove Mountains 054104,-72.786667,75.278889,1.47,2006.0,Chondrite — Ordinary
Grove Mountains 052912,-72.77861,75.3178,19.02,2006.0,Chondrite — Ordinary
Meteorite Hills 96512,-79.68333,159.75,2133.5,1996.0,Chondrite — Ordinary
Queen Alexandra Range 97390,-84.0,168.0,64.9,1997.0,Chondrite — Ordinary
Dominion Range 08429,0.0,0.0,23.3,2008.0,Chondrite — Ordinary
Miller Range 07290,0.0,0.0,32.7,2007.0,Chondrite — Ordinary
Yamato 86119,-71.5,35.66667,3.58,1986.0,Chondrite — Ordinary
MacAlpine Hills 02607,-84.21667,160.5,6.4,2002.0,Chondrite — Ordinary
Elephant Moraine 90141,-76.27668,156.446,12.3,1990.0,Chondrite — Ordinary
Meteorite Hills 001004,-79.68333,159.75,27.0,2000.0,Chondrite — Ordinary
Powell Peak 001,34.68222,-114.33046,42.8,2011.0,Chondrite — Ordinary
Dhofar 1654,18.67877,54.2876,50000.0,2011.0,Chondrite — Ordinary
Grove Mountains 051532,-72.935556,75.313056,4680.0,2006.0,Chondrite — Ordinary
Queen Alexandra Range 90272,-84.61234,162.13008,109.2,1990.0,Chondrite — Ordinary
Yamato 983540,0.0,0.0,91.7,1998.0,Chondrite — Ordinary
Queen Alexandra Range 99323,-84.0,168.0,47.5,1999.0,Chondrite — Ordinary
Queen Alexandra Range 93215,-84.57946,162.6269,12.6,1993.0,Chondrite — Ordinary
Northwest Africa 5846,0.0,0.0,44.0,2008.0,Chondrite — Ordinary
Asuka 881146,-72.0,26.0,1989.35,1988.0,Chondrite — Ordinary
Frontier Mountain 93022,-72.99167,160.40889,0.92,1993.0,Chondrite — Ordinary
Yamato 792569,-71.5,35.66667,5.45,1979.0,Chondrite — Ordinary
