key,the_name,country,the_rank,arwu_rank,cwur_rank,qs_rank,institution,country_code,works_count,cited_by_count,h_index,two_yr_mean_citedness,oa_rank_works,oa_rank_cites,oa_rank_hindex
utah,University of Utah,United States of America,162,93,70,392,University of Utah,US,220307,20427385,1113,2.988190303154625,99,86,83
utrecht,Utrecht University,Netherlands,79,56,87,112,Utrecht University,NL,235250,20298085,1082,4.066664541731079,86,87,91
vanderbilt,Vanderbilt University,United States of America,96,53,69,199,Vanderbilt University,US,172695,19468486,1103,3.037333850781023,150,100,85
vermont,University of Vermont,United States of America,351,301,324,701,University of Vermont,US,64429,5192505,663,2.718634622082898,552,413,305
victoria,University of Victoria,Canada,173,201,352,359,University of Victoria,CA,75197,5858394,644,3.948165750779741,489,374,326
vienna,University of Vienna,Austria,182,151,223,151,University of Vienna,AT,167226,10323624,775,2.3984655419956926,158,216,217
virginia,University of Virginia,United States of America,130,101,41,253,University of Virginia,US,202566,17403488,1047,3.207206023168923,116,120,102
vrije universiteit brussel,Vrije Universiteit Brussel,Belgium,351,201,280,251,Vrije Universiteit Brussel,BE,91134,6893165,673,3.1977176722779146,381,323,299
wake forest,Wake Forest University,United States of America,201,401,159,438,Wake Forest University,US,85645,8830258,805,2.971168381078789,411,257,201
warsaw,University of Warsaw,Poland,301,301,462,284,University of Warsaw,PL,107807,4357322,571,2.1636345259753385,306,463,389
warwick,University of Warwick,United Kingdom,103,92,293,64,University of Warwick,GB,139274,9032081,772,3.714296702733193,219,250,219
washington st louis,Washington University in St Louis,United States of America,42,32,52,118,Washington University in St. Louis,US,254270,40168554,1851,4.166638595309276,73,23,10
waterloo,University of Waterloo,Canada,251,201,269,154,University of Waterloo,CA,155529,9532587,769,4.209367393189894,180,233,221
wayne state,Wayne State University,United States of America,301,301,189,601,Wayne State University,US,129775,10953397,747,2.644403038555253,238,202,237
western australia,University of Western Australia,Australia,157,87,216,90,The University of Western Australia,AU,157186,13141276,975,4.4174338740318575,177,162,125
wisconsin madison,University of Wisconsin-Madison,United States of America,29,24,25,83,University of Wisconsin–Madison,US,373002,42960068,1422,3.677159904069257,25,20,33
witwatersrand,University of the Witwatersrand,South Africa,251,201,149,428,University of the Witwatersrand,ZA,102786,5171501,542,3.0892003914570263,321,414,416
wollongong,University of Wollongong,Australia,276,201,467,185,University of Wollongong,AU,82417,5077496,573,4.207582454947297,439,422,388
wuhan,Wuhan University,China,351,301,415,194,Wuhan University,CN,225084,17032363,864,4.9143021765459824,94,124,173
yale,Yale University,United States of America,9,11,11,18,Yale University,US,409697,51537527,1794,2.454729155663735,15,14,14
yonsei,Yonsei University,South Korea,201,201,98,73,Yonsei University,KR,179170,13308410,687,3.8250977441894927,145,160,287
york,University of York,United Kingdom,113,201,325,162,University of York,GB,101614,7473601,737,2.778541343382842,326,301,250
zhejiang,Zhejiang University,China,301,101,191,42,Zhejiang University,CN,368006,29194719,938,5.525585323342857,27,44,140
zurich,University of Zurich,Switzerland,103,54,96,83,University of Zurich,CH,201507,20576427,1111,7.217930559277265,117,85,84
